Date,Open,High,Low,Close,Volume
2020-01-01,174.45,180.62,167.43,175.0,94811296
2020-01-02,175.27,175.58,174.16,174.62,69489210
2020-01-03,172.47,179.34,167.15,175.74,110085507
2020-01-06,174.9,180.54,170.02,178.42,90644329
2020-01-07,179.81,183.59,173.28,176.74,168391392
2020-01-08,175.08,178.62,167.02,170.78,152773086
2020-01-09,169.5,170.77,165.73,166.22,224234030
2020-01-10,165.66,171.38,157.13,162.1,148645494
2020-01-13,162.67,166.53,160.36,163.9,80127869
2020-01-14,163.37,169.44,159.47,164.28,40076211
2020-01-15,164.28,167.56,163.49,167.07,110625297
2020-01-16,166.76,175.45,164.14,172.53,128270710
2020-01-17,173.04,183.27,167.77,172.58,128540138
2020-01-20,172.74,176.06,164.65,169.11,136494951
2020-01-21,169.24,174.7,167.33,172.99,85247626
2020-01-22,172.28,175.4,170.78,173.61,34249517
2020-01-23,172.91,173.26,168.26,168.65,59689776
2020-01-24,168.74,174.89,167.72,171.98,51055188
2020-01-27,173.25,178.08,167.14,172.47,80162330
2020-01-28,173.41,185.84,164.89,178.69,200668089
2020-01-29,179.32,179.91,175.27,176.07,90082046
2020-01-30,176.49,178.47,170.15,171.54,100888377
2020-01-31,170.51,173.37,165.44,168.27,73833891
2020-02-03,166.73,172.22,164.59,170.89,115282679
2020-02-04,171.58,176.7,168.84,172.05,109927808
2020-02-05,171.32,177.73,169.77,176.65,276255399
2020-02-06,176.03,182.02,162.76,169.04,115871041
2020-02-07,167.82,170.85,161.79,165.08,85405996
2020-02-10,166.23,168.99,161.89,164.52,40180163
2020-02-11,163.56,163.59,162.36,162.41,69827415
2020-02-12,163.22,165.44,159.06,160.27,76167022
2020-02-13,160.61,162.72,159.91,161.68,100972520
2020-02-14,163.53,163.55,160.28,160.3,153748741
2020-02-17,159.8,164.51,159.37,164.1,139873434
2020-02-18,164.76,165.43,160.95,162.29,148964479
2020-02-19,163.2,166.64,162.46,165.71,94616363
2020-02-20,165.55,172.13,161.53,165.79,95683146
2020-02-21,165.53,169.69,161.46,164.84,99086953
2020-02-24,164.2,172.13,156.58,164.5,61926794
2020-02-25,164.74,166.14,161.26,162.23,163227586
2020-02-26,162.51,163.4,156.08,157.42,132161094
2020-02-27,157.55,160.13,152.71,157.73,123659566
2020-02-28,158.45,159.99,156.28,157.33,85090087
2020-03-02,157.14,158.32,157.02,158.2,99330891
2020-03-03,156.3,164.05,154.16,160.97,61122706
2020-03-04,160.99,161.54,158.65,159.1,74417579
2020-03-05,160.16,161.27,158.89,160.64,58046614
2020-03-06,162.14,167.8,154.93,159.36,80388876
2020-03-09,160.1,166.96,155.55,159.7,74378865
2020-03-10,160.2,161.92,154.42,159.79,65939624
2020-03-11,160.17,161.3,156.04,157.06,115601335
2020-03-12,156.84,158.91,156.54,158.73,140437310
2020-03-13,157.8,161.93,152.33,156.82,94084599
2020-03-16,156.49,157.78,154.38,156.01,152541794
2020-03-17,156.85,156.94,156.6,156.63,77661045
2020-03-18,157.78,157.82,155.84,155.87,101806696
2020-03-19,156.05,162.61,150.61,156.57,100801239
2020-03-20,156.15,164.71,153.29,159.93,88280005
2020-03-23,159.11,162.08,158.05,160.65,98042703
2020-03-24,159.63,162.73,157.33,161.3,37605363
2020-03-25,161.28,163.29,159.94,161.39,47728456
2020-03-26,160.51,166.04,159.05,162.77,73238589
2020-03-27,162.03,162.49,158.97,160.2,134149902
2020-03-30,159.81,163.07,156.42,157.99,106515156
2020-03-31,157.83,161.43,157.55,160.61,233595797
2020-04-01,160.67,161.95,157.25,158.68,63599777
2020-04-02,159.42,163.11,151.14,158.1,66388437
2020-04-03,157.42,166.56,153.27,161.93,119649091
2020-04-06,162.06,163.82,159.15,161.9,62417717
2020-04-07,161.82,163.48,161.58,163.3,115341427
2020-04-08,163.75,165.59,163.3,165.37,193579833
2020-04-09,164.91,167.05,159.39,161.32,56967363
2020-04-10,161.55,164.59,158.79,160.0,49845118
2020-04-13,159.14,163.31,155.22,161.08,175580721
2020-04-14,160.74,162.52,157.1,159.07,67593542
2020-04-15,158.32,161.75,153.96,156.34,248245990
2020-04-16,155.98,160.32,154.29,159.05,91475286
2020-04-17,159.68,161.16,153.58,156.69,184144360
2020-04-20,156.24,159.28,154.13,157.4,66750360
2020-04-21,157.2,169.66,153.41,167.47,178192456
2020-04-22,168.02,172.63,164.92,170.3,231766259
2020-04-23,172.31,174.33,171.26,172.48,81074385
2020-04-24,173.56,175.01,167.67,170.22,137433970
2020-04-27,171.55,172.04,164.07,164.91,56365614
2020-04-28,164.79,166.98,161.6,165.2,62088577
2020-04-29,162.83,170.34,160.47,168.29,96836415
2020-04-30,167.82,171.56,163.65,168.73,152955220
2020-05-01,168.25,170.01,167.65,169.43,115283427
2020-05-04,169.12,177.23,166.11,175.42,103527882
2020-05-05,177.44,180.33,174.48,176.14,165020988
2020-05-06,176.44,180.05,166.72,170.7,122061345
2020-05-07,172.29,177.5,169.46,173.53,29207644
2020-05-08,172.59,175.03,171.06,172.61,128909990
2020-05-11,171.46,174.36,170.76,174.0,170458756
2020-05-12,175.45,182.09,172.35,179.38,51080834
2020-05-13,180.26,182.95,176.74,177.83,103523880
2020-05-14,178.81,185.99,177.27,184.02,242926822
2020-05-15,183.93,185.65,176.4,180.33,93209723
2020-05-18,179.96,181.18,174.7,175.53,143494716
2020-05-19,177.5,180.33,174.01,176.06,110124817
2020-05-20,176.7,193.22,169.38,184.25,207265361
2020-05-21,184.16,187.16,183.32,185.97,103280020
2020-05-22,185.59,188.68,183.08,186.25,46381056
2020-05-25,186.59,195.62,180.77,188.51,47055667
2020-05-26,188.59,196.1,188.32,195.65,245707495
2020-05-27,197.15,198.51,196.48,197.68,337367500
2020-05-28,196.29,198.83,196.1,198.44,80876739
2020-05-29,197.63,203.2,195.06,201.33,271382797
2020-06-01,201.88,207.31,201.24,206.36,216849362
2020-06-02,205.47,208.72,205.32,208.64,74324784
