Date,Open,High,Low,Close,Volume
2020-01-01,9064.47,9358.35,8573.56,9000.0,3659962
2020-01-02,9089.4,9390.19,8679.79,8792.82,17224633
2020-01-03,8852.63,9107.9,8799.88,9072.69,4462351
2020-01-06,9354.08,9887.66,9166.91,9715.66,6295670
2020-01-07,9743.62,10864.11,9139.17,9651.45,5622584
2020-01-08,9555.67,10208.82,9048.36,9380.6,14589305
2020-01-09,9387.82,10193.55,8970.32,9309.17,5242890
2020-01-10,9171.95,9349.17,8550.72,8871.81,9287266
2020-01-13,8761.37,8764.12,8699.65,8702.64,21621372
2020-01-14,8721.3,9007.9,8316.71,8696.96,2593100
2020-01-15,8634.94,8806.62,7702.82,7892.53,14433423
2020-01-16,7910.84,8931.81,7368.21,8723.88,14382456
2020-01-17,8656.69,9067.88,7867.6,8172.47,2441274
2020-01-20,8287.75,8592.42,7164.49,7406.54,47243654
2020-01-21,7425.45,7711.76,6731.77,6852.62,14486713
2020-01-22,6904.67,7825.88,6516.23,7413.83,7007415
2020-01-23,7342.45,7986.3,7070.86,7549.67,8656852
2020-01-24,7557.87,7803.19,7483.57,7703.9,5781728
2020-01-27,7786.37,7864.78,7424.4,7541.53,5236188
2020-01-28,7492.28,7648.89,6917.0,7302.88,6461456
2020-01-29,7458.3,7780.15,6713.97,7226.14,5328922
2020-01-30,7260.94,7340.14,7043.57,7165.18,5324297
2020-01-31,7265.69,7488.74,7037.38,7284.71,7786164
2020-02-03,7260.19,7830.27,6811.57,7239.64,4314623
2020-02-04,7291.21,7514.79,7047.32,7276.61,3756826
2020-02-05,7230.63,7519.84,6990.68,7198.88,4491616
2020-02-06,7160.42,7439.2,6675.27,6923.63,19642453
2020-02-07,6924.04,7189.97,6457.07,6749.22,12302672
2020-02-10,6575.45,6746.4,6528.99,6721.07,5017033
2020-02-11,6819.97,6859.28,6392.38,6428.04,7549977
2020-02-12,6470.17,6802.24,6203.46,6525.47,8819238
2020-02-13,6521.94,7232.07,6287.88,7024.3,9429403
2020-02-14,7019.65,7141.56,6647.82,7008.53,3429685
2020-02-17,6933.88,7493.58,6596.88,7262.0,9942802
2020-02-18,7204.65,7701.02,7079.93,7419.35,2785808
2020-02-19,7410.67,7542.8,7115.85,7240.72,17585420
2020-02-20,7161.57,7372.71,6954.99,7251.29,4331106
2020-02-21,7406.72,7430.28,7020.93,7037.73,6638280
2020-02-24,7128.65,7376.84,6587.36,7004.44,4147793
2020-02-25,7023.69,7543.8,6837.45,7246.27,14841851
2020-02-26,7022.56,7378.55,6754.55,7251.08,9981866
2020-02-27,7349.29,8326.34,6510.81,7098.16,3067836
2020-02-28,7101.68,7777.42,6386.72,7203.54,4952463
2020-03-02,7170.86,7871.0,6996.31,7515.01,23109053
2020-03-03,7591.53,7638.1,6893.04,6986.29,26851339
2020-03-04,6887.69,7350.56,6620.77,7098.12,4334452
2020-03-05,7090.12,7428.11,6589.92,6957.61,10404875
2020-03-06,7126.82,7582.07,7077.67,7530.11,10110794
2020-03-09,7412.09,7532.18,7049.98,7262.53,4880386
2020-03-10,7070.02,8178.91,6654.69,7703.08,14712279
2020-03-11,7780.62,8326.27,7209.6,7869.29,13934868
2020-03-12,7907.78,8278.37,7836.82,8089.85,6352534
2020-03-13,8116.35,8289.01,7758.6,7961.66,6041942
2020-03-16,7994.01,9185.18,7254.29,8115.74,4747049
2020-03-17,8030.04,8970.33,7520.67,8489.98,10065204
2020-03-18,8507.17,8638.0,8400.92,8551.72,4005615
2020-03-19,8602.79,9504.8,7998.78,8973.67,15300930
2020-03-20,8881.51,9839.95,7673.43,8791.93,12459874
2020-03-23,8876.74,9817.14,7764.95,8639.8,4006495
2020-03-24,8796.1,8806.35,8585.65,8604.13,6740799
2020-03-25,8635.61,8943.25,8630.91,8938.75,12498253
2020-03-26,8860.02,9281.02,8164.24,8374.5,13989534
2020-03-27,8349.64,8396.27,7863.25,7921.26,3212851
2020-03-30,7903.27,8016.1,7805.46,7901.33,3798835
2020-03-31,7731.18,7789.22,7158.54,7237.82,13627263
2020-04-01,7213.18,7420.64,6902.3,7102.59,9055500
2020-04-02,7145.31,7402.04,6672.96,7023.07,5618340
2020-04-03,6979.83,6998.41,6737.97,6768.62,5247436
2020-04-06,6556.62,7025.71,6187.9,6748.89,5334901
2020-04-07,6757.26,6801.41,6664.1,6721.93,4614554
2020-04-08,6788.31,7077.26,6238.98,6462.37,4851179
2020-04-09,6508.88,6805.23,5910.24,6300.23,7386885
2020-04-10,6211.78,6739.07,6093.26,6402.06,7147050
2020-04-13,6498.24,6819.78,6419.13,6670.3,6320641
2020-04-14,6583.31,6763.48,6505.7,6621.43,6310480
2020-04-15,6514.43,6975.16,5858.45,6448.73,6876349
2020-04-16,6420.13,6937.68,6237.41,6783.26,11048325
2020-04-17,6781.48,7122.53,6377.88,6899.99,5578388
2020-04-20,6895.71,6981.44,6543.96,6575.49,19235129
2020-04-21,6600.27,6616.61,6440.85,6453.97,9727215
2020-04-22,6520.75,6560.27,6383.57,6432.91,7375893
2020-04-23,6518.06,6540.33,6088.65,6133.32,13696601
2020-04-24,6159.23,6600.62,5570.07,6043.54,4587949
2020-04-27,6020.6,6204.67,5968.41,6150.13,7478534
2020-04-28,6279.86,6405.13,6075.87,6184.98,5653757
2020-04-29,6126.39,6313.51,6100.81,6282.94,11840083
2020-04-30,6375.75,6432.18,5996.96,6169.55,4307810
2020-05-01,6169.59,6573.33,6077.33,6363.1,11212641
2020-05-04,6460.58,6636.67,6348.36,6464.55,7103217
2020-05-05,6528.74,6649.74,6186.57,6347.09,12018716
2020-05-06,6327.99,6400.15,6014.18,6043.74,4423090
2020-05-07,6009.66,6415.36,5352.63,5769.33,7456412
2020-05-08,5750.21,5758.27,5700.4,5712.58,5072609
2020-05-11,5714.8,6184.49,5098.51,5527.56,7719563
2020-05-12,5485.38,6156.18,5448.82,6094.86,10423069
2020-05-13,6182.59,6314.62,5740.3,5868.02,11281734
2020-05-14,5875.11,6295.02,5612.13,5833.65,6965197
2020-05-15,5770.57,6033.1,5622.48,5909.8,6680936
2020-05-18,5927.9,5948.33,5898.42,5919.28,1797622
2020-05-19,5931.93,6308.86,5730.59,6071.85,18478594
2020-05-20,6038.93,6657.72,5796.25,6420.17,11306921
2020-05-21,6461.41,6884.39,6162.84,6511.86,8269357
2020-05-22,6506.27,6839.31,6349.7,6688.09,15460670
2020-05-25,6736.16,7040.0,6683.12,6999.36,7782620
2020-05-26,6918.78,7768.77,6643.95,7126.81,8689456
2020-05-27,7248.51,7793.94,6298.74,6962.05,31301677
2020-05-28,7022.43,7484.92,6689.83,7044.63,7043574
2020-05-29,7069.15,7915.73,6974.16,7701.72,11648374
2020-06-01,7720.86,7743.83,7502.61,7531.79,5895890
2020-06-02,7601.85,7703.0,7133.37,7334.25,10236292
2020-06-03,7332.09,7440.09,7138.69,7252.1,10148118
2020-06-04,7073.45,7423.03,6704.08,7056.38,7169232
2020-06-05,7079.33,7688.54,6939.8,7509.16,2482143
2020-06-08,7387.81,8596.24,6936.31,7971.4,15238386
2020-06-09,7919.22,8118.95,7589.88,7720.38,15701563
2020-06-10,7817.39,7933.32,7032.47,7121.9,5168662
2020-06-11,7095.31,7123.83,7078.61,7104.04,14960012
2020-06-12,7051.1,7293.53,6844.14,7139.61,2934091
2020-06-15,7038.37,7063.92,6632.02,6665.68,11492934
2020-06-16,6780.79,7133.75,5766.13,5985.51,27846128
2020-06-17,5887.63,6534.45,5745.7,6181.44,12406110
2020-06-18,6228.2,6260.59,5845.68,5858.34,8252534
2020-06-19,5871.77,6144.65,5742.63,5895.12,4799806
2020-06-22,5877.29,5910.02,5769.87,5813.4,11998407
2020-06-23,5876.05,6131.76,5404.82,5962.33,5292971
2020-06-24,5958.84,6243.07,5948.04,6236.2,7348680
2020-06-25,6307.93,6374.64,6191.34,6221.65,5425849
2020-06-26,6312.55,6565.18,5829.36,6025.63,6108120
2020-06-29,5997.34,6522.24,5620.83,6278.91,9102694
2020-06-30,6200.94,6207.12,5969.45,5974.03,11697614
2020-07-01,5956.64,6069.18,5797.12,5876.37,13026824
2020-07-02,5834.93,5912.07,5513.77,5578.05,7508902
2020-07-03,5547.67,5695.66,5192.46,5372.18,12509494
2020-07-06,5300.67,5411.23,5100.92,5335.38,11890318
2020-07-07,5395.06,5714.74,5127.97,5293.59,4262869
2020-07-08,5331.89,5642.83,5058.39,5318.41,13786537
2020-07-09,5411.23,5653.93,5260.19,5480.87,11416388
2020-07-10,5698.16,5763.15,5180.21,5219.76,10997664
2020-07-13,5229.4,5736.9,4843.06,5445.61,9001494
2020-07-14,5346.35,5448.56,5334.28,5435.6,9045041
2020-07-15,5412.22,5702.62,5121.61,5249.79,17935797
2020-07-16,5260.94,5713.13,4568.83,4742.73,32012928
2020-07-17,4766.4,4972.84,4601.38,4737.84,10118191
2020-07-20,4755.73,4988.41,4479.17,4653.61,4078640
2020-07-21,4744.11,5154.14,4352.0,4663.21,6467632
2020-07-22,4726.73,4853.74,4499.56,4704.05,7722651
2020-07-23,4747.92,4935.9,4585.5,4650.61,3216019
2020-07-24,4621.38,5330.41,4327.59,4937.52,28598902
2020-07-27,4953.86,5076.02,4632.72,4732.17,14799697
2020-07-28,4736.69,5056.08,4344.04,4717.87,2713717
2020-07-29,4771.8,4833.32,4284.04,4324.71,18552491
2020-07-30,4303.21,4551.85,4244.24,4509.58,4896758
2020-07-31,4446.01,4524.44,3955.21,4065.84,14763363
2020-08-03,4038.82,4934.25,3840.98,4418.95,19560571
2020-08-04,4382.39,4391.08,4276.31,4301.46,13873122
2020-08-05,4277.42,4304.08,4065.46,4082.73,13152398
2020-08-06,4054.64,4560.37,3622.04,4001.21,4498850
2020-08-07,4000.84,4045.99,3830.78,3882.37,5574533
2020-08-10,3923.28,4044.49,3786.33,3976.35,3928203
2020-08-11,3984.81,4111.56,3899.0,4022.15,13780554
2020-08-12,4058.44,4191.32,3627.55,3778.17,17968502
2020-08-13,3783.53,3828.37,3676.31,3728.63,11133532
2020-08-14,3774.51,3944.42,3368.75,3450.94,14002132
2020-08-17,3477.22,3893.87,2802.75,3241.76,12297321
2020-08-18,3234.23,3379.3,3202.68,3333.92,11783426
2020-08-19,3306.44,3488.97,3215.89,3404.47,6653458
2020-08-20,3485.43,3697.02,3387.06,3540.35,12012825
2020-08-21,3545.32,3666.76,3233.06,3362.36,22703827
2020-08-24,3358.07,3595.05,3170.87,3309.47,5356067
2020-08-25,3251.24,3436.48,3203.02,3382.3,10724476
2020-08-26,3411.91,3417.13,3135.6,3143.51,8917974
2020-08-27,3100.15,3302.64,2993.67,3193.63,3415196
2020-08-28,3204.01,3282.67,2939.32,2990.89,12174733
2020-08-31,3027.52,3096.26,2720.84,2918.45,4323453
2020-09-01,2937.37,3071.11,2859.11,2999.95,15014171
2020-09-02,2971.55,3012.83,2925.82,2957.2,2245776
2020-09-03,3011.97,3082.39,2883.46,2952.4,2518295
2020-09-04,2976.68,3024.18,2841.33,2916.67,7106506
2020-09-07,2891.86,3016.59,2747.33,2867.67,6798771
2020-09-08,2867.09,2905.42,2705.65,2749.43,6019317
2020-09-09,2761.64,2845.42,2519.39,2632.41,10560394
2020-09-10,2585.83,2818.95,2401.52,2652.48,3111786
2020-09-11,2608.55,2780.0,2501.26,2704.65,20427374
2020-09-14,2708.61,2953.12,2680.11,2891.25,8920844
2020-09-15,2850.26,2903.12,2834.3,2889.2,3453870
2020-09-16,2885.56,2990.54,2471.16,2563.19,12960564
2020-09-17,2573.99,2774.84,2520.64,2705.61,11461247
2020-09-18,2733.36,2808.68,2569.73,2632.5,3840941
2020-09-21,2627.74,2722.32,2491.36,2538.56,5085551
2020-09-22,2522.25,2606.65,2314.86,2506.78,5288162
2020-09-23,2500.63,2737.73,2279.41,2565.25,23797325
2020-09-24,2530.99,2750.68,2372.74,2631.52,10551502
2020-09-25,2706.65,2846.1,2582.06,2700.3,2920397
2020-09-28,2669.68,2808.01,2571.25,2618.2,15002800
2020-09-29,2630.32,2764.69,2609.81,2723.99,13536942
2020-09-30,2711.98,2764.57,2666.05,2736.6,4840180
2020-10-01,2755.8,3048.41,2660.38,2949.9,8528827
2020-10-02,2925.69,3063.01,2846.4,2992.25,10321299
2020-10-05,3004.95,3182.07,2856.68,3079.33,11267706
2020-10-06,3096.85,3124.18,2930.3,2963.76,8689759
2020-10-07,2964.82,3066.13,2934.72,3038.56,8343329
2020-10-08,3096.98,3275.0,3060.22,3220.04,10742013
2020-10-09,3217.0,3228.3,3156.33,3160.91,12807340
2020-10-12,3123.32,3314.99,2834.04,2983.8,8449039
2020-10-13,3084.05,3096.97,2912.53,2919.93,6922952
2020-10-14,2889.62,3127.91,2652.27,2893.02,4478631
2020-10-15,2905.91,3062.84,2564.58,2631.55,15024102
2020-10-16,2657.85,2848.77,2122.23,2281.24,29968239
2020-10-19,2226.3,2249.67,2043.68,2058.19,14066524
2020-10-20,2046.65,2091.03,2017.52,2059.89,5870983
2020-10-21,2070.07,2294.2,2012.78,2236.76,14657641
2020-10-22,2245.8,2337.6,2032.08,2118.04,14191348
2020-10-23,2095.6,2269.55,1819.61,1961.66,8926765
2020-10-26,1958.03,2124.43,1954.51,2119.16,9028960
2020-10-27,2145.14,2168.51,2096.6,2115.16,4573410
2020-10-28,2110.48,2178.45,2025.96,2077.65,4432232
2020-10-29,2092.22,2126.57,1994.84,2021.34,8475397
2020-10-30,2018.37,2209.11,1934.46,2023.87,5471691
2020-11-02,1990.48,2065.41,1908.0,1960.65,20572880
2020-11-03,2015.47,2051.52,1924.09,2010.27,7403203
2020-11-04,2016.57,2278.13,1788.75,2056.0,5300155
2020-11-05,2057.69,2107.43,1868.18,1939.54,15277467
2020-11-06,1898.69,2197.68,1612.29,1874.34,11255775
2020-11-09,1859.29,2010.35,1806.42,1944.67,8356012
2020-11-10,2014.2,2041.43,1823.12,1885.69,2168173
2020-11-11,1847.28,1900.54,1655.34,1711.93,8497333
2020-11-12,1687.85,1841.14,1585.2,1713.71,4361632
2020-11-13,1732.29,1743.99,1610.42,1622.32,3339757
2020-11-16,1597.71,1601.38,1560.44,1570.38,4208162
2020-11-17,1593.75,1613.21,1575.76,1598.71,2025886
2020-11-18,1627.38,1630.37,1557.9,1562.86,7224662
2020-11-19,1573.5,1583.34,1521.43,1535.48,6903517
2020-11-20,1533.32,1587.89,1502.76,1564.13,10248224
2020-11-23,1588.98,1626.04,1473.57,1515.57,20073338
2020-11-24,1532.14,1577.13,1360.08,1431.74,6005597
2020-11-25,1451.39,1515.32,1446.5,1507.27,13364489
2020-11-26,1518.88,1634.55,1514.69,1630.59,4794786
2020-11-27,1631.92,1829.76,1571.21,1742.14,19618294
2020-11-30,1791.2,1926.72,1752.57,1881.8,5356109
2020-12-01,1840.37,1995.88,1828.22,1982.29,4705334
2020-12-02,1976.22,2038.86,1926.14,1982.06,3015101
2020-12-03,2024.49,2145.75,1707.45,1929.54,4250784
2020-12-04,1923.46,2002.35,1913.72,1981.44,5736358
2020-12-07,1990.84,2067.74,1925.17,2025.19,6527972
2020-12-08,2027.41,2096.95,2023.83,2093.47,19893052
2020-12-09,2092.57,2094.35,2026.83,2028.29,10584280
2020-12-10,2028.49,2171.77,2015.75,2163.82,23832978
2020-12-11,2126.85,2207.48,2060.79,2102.35,11685017
2020-12-14,2108.47,2242.36,2033.15,2086.9,5275767
2020-12-15,2093.85,2109.56,2030.73,2076.74,4769553
2020-12-16,2095.29,2173.55,1924.28,1960.72,4867843
2020-12-17,1973.65,2129.16,1914.89,2010.58,10830536
2020-12-18,2019.52,2035.72,1930.24,1939.96,5163954
2020-12-21,1960.83,2017.99,1847.06,1923.8,6288339
2020-12-22,1900.41,2048.72,1713.98,1972.49,11516909
2020-12-23,1976.74,2034.46,1940.79,2001.66,17959228
2020-12-24,2005.21,2024.89,1931.38,1948.86,11605341
2020-12-25,1957.43,2022.68,1898.54,1932.41,4551208
2020-12-28,1946.99,1948.88,1942.52,1944.46,4275010
2020-12-29,1973.07,2248.78,1839.69,2102.08,12031215
2020-12-30,2137.65,2148.25,1942.45,1962.07,8822286
2020-12-31,1984.14,2030.44,1802.37,1867.06,4136299
2021-01-01,1871.72,1882.0,1825.03,1836.98,12899475
2021-01-04,1821.2,1870.54,1746.74,1810.33,6775122
2021-01-05,1811.2,1900.48,1779.08,1878.54,5385179
2021-01-06,1854.84,2070.55,1753.17,1942.73,3068802
2021-01-07,1975.01,2118.62,1913.96,2042.11,9284119
2021-01-08,2029.94,2218.96,1785.23,1984.83,4180015
2021-01-11,1971.53,2054.84,1879.74,1949.08,4910332
2021-01-12,1972.64,2044.64,1788.35,1877.68,13325942
2021-01-13,1867.09,1869.93,1773.66,1774.72,5759400
2021-01-14,1785.63,1813.17,1754.15,1785.91,6293901
2021-01-15,1774.36,1852.99,1602.06,1723.45,13075363
2021-01-18,1710.27,1736.73,1667.13,1677.05,4176628
2021-01-19,1685.76,1705.69,1643.64,1653.45,4486476
2021-01-20,1604.77,1700.83,1545.18,1662.31,10150624
2021-01-21,1665.07,1689.13,1586.71,1632.83,6005848
2021-01-22,1645.02,1783.33,1497.82,1576.84,5718190
2021-01-25,1563.46,1588.02,1427.2,1460.04,9206923
2021-01-26,1456.55,1494.06,1424.37,1482.68,8060764
2021-01-27,1482.28,1571.03,1410.93,1510.42,7214629
2021-01-28,1481.15,1496.58,1336.21,1341.88,25491360
2021-01-29,1336.02,1367.56,1300.08,1326.58,6156401
2021-02-01,1312.92,1382.66,1278.54,1345.72,5935362
2021-02-02,1326.25,1388.94,1210.23,1290.85,4833862
2021-02-03,1287.57,1362.58,1238.01,1318.52,4983341
2021-02-04,1317.82,1407.98,1193.43,1277.2,18535382
2021-02-05,1279.43,1350.26,1232.39,1306.99,5275764
2021-02-08,1314.86,1359.63,1287.09,1332.66,5178798
2021-02-09,1325.12,1398.02,1246.68,1329.74,4526585
2021-02-10,1336.01,1361.16,1305.89,1345.9,4162585
2021-02-11,1330.43,1422.69,1316.56,1399.51,11005167
2021-02-12,1379.99,1456.57,1203.02,1278.36,26224093
2021-02-15,1281.32,1331.79,1241.08,1309.14,6735803
2021-02-16,1303.07,1330.77,1242.14,1276.07,8188558
2021-02-17,1276.57,1321.52,1178.02,1218.05,10575783
2021-02-18,1245.17,1357.54,1204.83,1309.1,35574004
2021-02-19,1319.1,1360.01,1195.77,1221.71,10006231
2021-02-22,1226.3,1416.37,1177.25,1319.97,15334113
2021-02-23,1313.97,1323.11,1261.55,1274.15,4432531
2021-02-24,1275.64,1374.53,1190.45,1291.54,9497923
2021-02-25,1296.84,1332.88,1251.92,1299.68,3354668
2021-02-26,1326.81,1336.6,1264.63,1267.9,5742507
2021-03-01,1275.52,1297.2,1230.96,1247.38,7471146
2021-03-02,1267.43,1375.06,1081.34,1200.54,10822500
2021-03-03,1209.63,1265.0,1090.7,1179.65,10873636
2021-03-04,1182.02,1298.92,1149.84,1241.5,5484400
2021-03-05,1239.6,1263.75,1164.81,1198.09,13224508
2021-03-08,1182.15,1280.48,1163.54,1229.23,3359559
2021-03-09,1232.31,1240.15,1219.49,1229.82,1860976
2021-03-10,1238.0,1326.87,1210.0,1281.17,9458171
2021-03-11,1246.5,1426.32,1113.66,1347.24,5730290
2021-03-12,1337.94,1374.08,1283.8,1296.21,7648457
2021-03-15,1303.3,1340.7,1210.84,1277.05,7841701
2021-03-16,1281.75,1325.91,1262.74,1294.54,5333840
2021-03-17,1321.81,1358.19,1251.78,1308.62,5779833
2021-03-18,1313.02,1324.24,1240.77,1251.89,7803045
2021-03-19,1279.21,1285.36,1230.11,1232.56,8384501
2021-03-22,1258.83,1319.78,1168.96,1235.28,4780077
2021-03-23,1219.03,1237.65,1126.11,1136.84,9063567
2021-03-24,1132.63,1228.17,1130.1,1223.26,10740117
2021-03-25,1240.56,1350.98,1209.49,1269.49,13478851
2021-03-26,1265.66,1306.63,1180.36,1213.41,13401215
2021-03-29,1238.56,1239.3,1197.64,1198.25,6703853
2021-03-30,1190.65,1228.14,1130.25,1166.96,10806420
2021-03-31,1134.45,1163.73,1100.82,1143.82,6785357
2021-04-01,1133.63,1186.77,1109.5,1168.43,16511538
2021-04-02,1156.07,1229.02,1142.64,1211.78,11665142
2021-04-05,1195.18,1303.59,1159.15,1232.78,5047965
2021-04-06,1214.28,1282.51,1162.93,1257.47,14327311
2021-04-07,1233.94,1291.35,1226.51,1286.98,12229122
2021-04-08,1316.06,1473.97,1221.0,1334.24,16020387
