Date,Open,High,Low,Close,Volume
2020-01-01,139.43,144.24,136.91,140.0,21464621
2020-01-02,141.25,141.97,139.72,141.15,41538799
2020-01-03,140.44,150.2,135.24,144.08,15968578
2020-01-06,143.78,147.0,142.71,144.47,34716488
2020-01-07,144.21,146.47,140.17,143.2,23243093
2020-01-08,142.93,143.95,140.96,143.2,20747003
2020-01-09,143.54,145.55,141.87,144.4,19097775
2020-01-10,145.37,146.42,144.33,145.47,24153345
2020-01-13,146.26,148.25,143.08,145.37,18782955
2020-01-14,146.86,148.93,141.42,142.97,30769846
2020-01-15,142.8,146.01,138.41,142.51,29162302
2020-01-16,143.97,146.22,143.06,144.38,43801984
2020-01-17,144.53,149.87,142.07,148.23,77790447
2020-01-20,149.3,150.66,148.96,150.22,31607806
2020-01-21,149.36,151.52,147.86,149.83,25692545
2020-01-22,150.83,151.66,147.9,149.84,31002439
2020-01-23,149.78,155.17,146.98,151.81,23988347
2020-01-24,151.05,156.68,150.1,155.27,28514948
2020-01-27,156.21,157.57,153.13,154.71,62954962
2020-01-28,153.55,154.59,147.52,148.84,60734086
2020-01-29,148.86,152.54,146.7,151.25,22748246
2020-01-30,151.83,152.54,144.82,145.81,67987325
2020-01-31,146.67,149.33,142.34,144.0,51585822
2020-02-03,143.6,149.44,142.52,146.63,37029131
2020-02-04,146.47,151.37,144.72,149.61,39182476
2020-02-05,148.69,155.96,143.21,149.66,73297613
2020-02-06,149.04,151.18,145.86,148.11,22727529
2020-02-07,147.89,148.19,147.33,147.64,24063842
2020-02-10,147.42,151.59,144.19,147.49,27029087
2020-02-11,148.15,148.74,147.45,147.98,14675059
2020-02-12,148.28,150.47,144.81,148.32,16856626
2020-02-13,147.71,148.61,144.99,146.28,55854122
2020-02-14,146.42,148.91,144.63,146.8,8382930
2020-02-17,145.42,153.79,142.35,148.52,31130118
2020-02-18,149.14,157.08,146.42,152.29,25044468
2020-02-19,152.51,157.34,147.46,149.6,10230220
2020-02-20,148.18,149.26,145.29,147.03,15987359
2020-02-21,147.89,149.45,146.01,147.06,24266903
2020-02-24,147.28,152.17,145.11,150.02,24786794
2020-02-25,148.62,150.71,146.63,147.93,55398037
2020-02-26,147.69,151.87,147.43,151.66,31560492
2020-02-27,150.32,151.46,148.36,150.62,19951075
2020-02-28,150.31,150.72,150.04,150.36,55322754
2020-03-02,150.81,154.52,143.76,146.84,56231577
2020-03-03,145.95,148.17,143.69,146.01,18451052
2020-03-04,145.81,147.49,143.88,146.52,15316293
2020-03-05,146.29,147.06,145.76,146.66,24457156
2020-03-06,145.92,148.72,143.91,146.41,15009361
2020-03-09,146.87,147.73,142.53,144.73,39622534
2020-03-10,144.81,149.0,144.64,148.82,21036112
2020-03-11,148.89,149.63,148.44,148.94,35938870
2020-03-12,148.18,151.65,147.75,150.96,41124079
2020-03-13,151.02,155.37,139.75,146.24,16773519
2020-03-16,146.06,148.09,142.7,144.15,46803674
2020-03-17,144.13,150.08,141.36,147.58,32776668
2020-03-18,146.74,148.57,144.72,147.11,17307115
2020-03-19,147.08,147.45,143.68,144.49,56924104
2020-03-20,144.64,145.67,143.62,144.36,19574484
2020-03-23,144.87,147.4,141.09,143.22,23343010
2020-03-24,142.66,149.35,140.4,146.39,33684655
2020-03-25,146.47,148.83,145.78,147.51,30932425
2020-03-26,147.42,147.48,144.06,144.11,38903686
