Date,Open,High,Low,Close,Volume
2020-01-01,218.86,222.92,215.88,220.0,19680852
2020-01-02,218.68,219.74,217.47,218.7,30633084
2020-01-03,220.75,225.15,217.17,221.35,67554976
2020-01-06,223.53,226.24,213.41,216.19,34942913
2020-01-07,217.07,222.03,216.43,221.58,45190295
2020-01-08,219.84,224.59,209.71,216.85,33282538
2020-01-09,216.62,221.54,216.11,220.78,48143894
2020-01-10,220.96,223.38,214.84,217.58,21983755
2020-01-13,217.85,223.26,217.62,223.03,14877470
2020-01-14,223.94,226.44,220.15,223.21,46503912
2020-01-15,222.08,224.26,221.3,223.93,38382355
2020-01-16,223.94,231.8,223.34,231.42,36379034
2020-01-17,229.89,234.44,227.4,230.45,31834592
2020-01-20,230.24,235.27,227.87,231.05,46748409
2020-01-21,232.73,234.44,225.08,226.76,39847836
2020-01-22,225.41,231.9,222.82,230.61,41043933
2020-01-23,232.59,247.43,217.55,224.53,48095715
2020-01-24,224.23,232.44,222.21,228.84,24140182
2020-01-27,228.26,237.25,210.87,224.85,79340183
2020-01-28,225.25,232.42,216.13,223.33,11167693
2020-01-29,222.57,226.82,219.48,224.66,59144259
2020-01-30,223.26,226.78,220.25,223.19,48624739
2020-01-31,223.29,234.53,222.2,232.83,30897296
2020-02-03,233.71,236.62,226.79,230.14,22692336
2020-02-04,230.84,235.82,221.71,227.49,61627862
2020-02-05,226.38,228.13,222.87,225.48,52364636
2020-02-06,226.68,231.18,222.07,225.38,14606444
2020-02-07,224.7,226.56,222.23,225.61,19979482
2020-02-10,225.88,227.56,225.15,226.39,28618674
2020-02-11,226.63,229.46,221.99,226.61,45418572
2020-02-12,227.15,229.18,223.27,224.8,18332053
2020-02-13,224.73,229.5,221.52,226.99,53222431
2020-02-14,226.16,234.82,223.05,228.39,29843384
2020-02-17,227.77,231.6,215.36,221.02,15589095
2020-02-18,220.94,223.64,218.95,222.12,33189288
2020-02-19,222.64,225.56,216.21,220.95,20948779
2020-02-20,220.17,222.05,218.63,221.2,52633002
2020-02-21,220.27,223.96,217.01,221.22,78739128
2020-02-24,219.63,227.03,217.77,224.78,36624051
2020-02-25,225.72,226.48,223.34,223.9,104454726
2020-02-26,224.67,224.82,223.85,223.92,38764134
2020-02-27,223.35,223.91,221.5,222.1,64697046
2020-02-28,223.89,225.06,220.93,223.92,49595256
2020-03-02,225.29,228.0,219.19,222.67,26155223
2020-03-03,221.35,226.81,209.57,215.93,47082873
2020-03-04,215.52,216.5,212.97,213.82,78998680
2020-03-05,213.01,219.1,212.96,219.07,41429273
2020-03-06,219.46,221.58,217.01,218.81,90921654
2020-03-09,218.87,226.47,207.3,214.78,136107496
2020-03-10,215.28,221.28,211.44,216.9,27294794
2020-03-11,217.56,218.28,214.64,216.05,39532559
2020-03-12,217.76,221.01,213.55,218.36,47562359
2020-03-13,217.89,219.02,215.1,217.0,61740547
2020-03-16,216.56,219.35,212.62,213.84,102259222
2020-03-17,214.27,218.25,208.18,212.63,72845073
2020-03-18,211.99,212.4,211.67,212.19,31857614
2020-03-19,212.29,215.89,206.64,211.04,13169236
2020-03-20,211.79,215.07,209.36,214.21,23811064
2020-03-23,215.47,216.55,213.96,215.58,129181671
2020-03-24,214.98,223.49,210.75,217.41,34019561
2020-03-25,217.72,221.2,215.83,217.89,37320933
2020-03-26,215.52,224.63,212.99,220.75,29570596
2020-03-27,220.72,232.25,214.5,228.01,46079227
2020-03-30,228.51,229.21,225.91,226.59,22033077
2020-03-31,227.2,227.87,224.08,224.56,33411126
2020-04-01,224.57,228.77,222.28,225.97,41901866
2020-04-02,225.38,227.47,223.19,225.73,19481867
2020-04-03,227.07,235.84,211.74,218.7,72062473
2020-04-06,217.49,224.09,209.01,213.79,41736860
2020-04-07,213.44,213.76,211.91,212.71,45312424
2020-04-08,211.86,218.26,209.19,216.29,29951051
2020-04-09,219.29,223.37,216.93,218.96,66394381
2020-04-10,219.61,223.98,215.1,218.66,22954627
2020-04-13,218.89,221.03,218.46,220.03,19268534
2020-04-14,219.62,232.29,213.41,222.57,56654359
2020-04-15,222.56,226.52,220.04,224.4,23791498
2020-04-16,223.4,228.79,217.22,223.33,48658696
2020-04-17,223.91,228.73,223.63,228.15,89120185
2020-04-20,228.94,235.23,221.52,228.07,142020667
2020-04-21,228.1,230.1,227.42,229.61,63837787
2020-04-22,229.76,237.08,226.67,229.82,23117412
2020-04-23,230.41,232.09,228.8,230.97,60800734
2020-04-24,232.23,237.37,217.22,224.95,76955374
2020-04-27,228.8,229.36,219.61,219.89,22573803
2020-04-28,218.21,224.3,217.59,223.55,76965893
2020-04-29,224.45,233.01,211.48,221.99,54167989
2020-04-30,220.25,222.65,217.9,220.43,34170853
2020-05-01,219.63,232.17,210.06,224.73,38345526
2020-05-04,224.19,230.08,223.8,229.59,27276677
2020-05-05,229.16,230.65,228.14,230.29,28326807
2020-05-06,232.2,233.92,230.0,231.66,45616303
2020-05-07,231.58,232.9,230.02,231.35,33494165
2020-05-08,231.09,233.98,228.79,230.04,26363232
