Date,Open,High,Low,Close,Volume
2020-01-01,1800.4,1807.05,1796.21,1800.0,13481781
2020-01-02,1809.85,1844.87,1749.7,1784.7,14294976
2020-01-03,1787.68,1805.07,1736.98,1753.58,13498127
2020-01-06,1758.69,1764.13,1723.53,1731.8,6114979
2020-01-07,1722.53,1744.02,1715.38,1737.41,9670083
2020-01-08,1737.74,1755.83,1721.53,1743.69,12868985
2020-01-09,1745.1,1756.96,1712.78,1725.8,11937088
2020-01-10,1727.31,1750.94,1682.26,1699.12,3779051
2020-01-13,1699.56,1699.93,1695.3,1695.61,13371928
2020-01-14,1697.6,1714.77,1656.8,1688.93,11329991
2020-01-15,1688.47,1717.42,1640.09,1666.51,27235214
2020-01-16,1664.93,1668.17,1652.25,1655.98,9979617
2020-01-17,1656.22,1693.22,1641.29,1663.88,19235874
2020-01-20,1663.82,1675.14,1661.78,1673.69,8384094
2020-01-21,1668.0,1753.6,1665.05,1750.54,13281533
2020-01-22,1743.72,1890.27,1722.67,1872.74,16870718
2020-01-23,1871.9,1909.12,1825.53,1891.06,10573314
2020-01-24,1889.76,1901.36,1887.83,1898.75,14724536
2020-01-27,1906.02,1987.8,1851.18,1906.43,5646667
2020-01-28,1903.49,1919.18,1868.74,1890.87,27553475
2020-01-29,1912.3,1948.84,1812.39,1846.29,7033236
2020-01-30,1839.16,1843.17,1812.2,1817.35,7860861
2020-01-31,1831.0,1871.35,1824.47,1865.16,12441454
2020-02-03,1851.79,1871.71,1832.04,1853.04,18269296
2020-02-04,1858.15,1870.02,1771.87,1804.77,8332174
2020-02-05,1794.38,1857.22,1779.4,1816.22,17032714
2020-02-06,1813.95,1852.59,1792.43,1831.71,6414951
2020-02-07,1834.95,1871.13,1830.15,1867.01,46333545
2020-02-10,1864.73,1921.62,1829.03,1870.24,9615393
2020-02-11,1877.37,1888.09,1876.64,1887.32,8200747
2020-02-12,1891.41,1929.44,1875.19,1911.55,7876319
2020-02-13,1903.24,1950.49,1854.77,1889.7,8132294
2020-02-14,1904.82,1954.75,1895.63,1946.08,13309771
2020-02-17,1950.86,1977.96,1932.04,1948.11,9241489
2020-02-18,1951.28,1963.12,1895.24,1915.2,7678444
