Date,Open,High,Low,Close,Volume
2020-01-01,319.97,325.99,316.94,320.0,56637545
2020-01-02,319.33,320.19,317.45,318.3,92700139
2020-01-03,317.47,318.36,316.49,317.08,152350076
2020-01-06,316.86,318.68,315.27,317.6,96991107
2020-01-07,316.6,325.34,314.21,323.2,97129414
2020-01-08,322.75,328.1,321.28,324.26,61432731
2020-01-09,323.5,332.25,318.75,324.6,83584902
2020-01-10,324.39,325.1,320.75,321.93,48872262
2020-01-13,322.61,325.45,322.19,324.67,88458044
2020-01-14,323.29,338.26,318.57,329.31,167707403
2020-01-15,329.86,333.42,324.5,328.23,47205890
2020-01-16,328.78,330.56,323.04,327.03,69343330
2020-01-17,327.66,328.81,322.07,322.46,33518819
2020-01-20,323.32,325.75,317.53,319.49,55356275
2020-01-21,318.44,324.24,316.49,322.77,57786467
2020-01-22,322.0,325.5,321.05,324.65,68513516
2020-01-23,324.27,328.65,321.13,323.85,94496883
2020-01-24,322.56,329.36,315.74,320.87,177311242
2020-01-27,319.93,322.04,316.15,320.05,80129929
2020-01-28,317.23,323.63,314.5,322.36,30991590
2020-01-29,320.45,330.34,316.18,324.39,75811312
2020-01-30,323.01,329.96,319.06,325.55,104478283
2020-01-31,323.18,331.86,317.12,327.6,62561048
2020-02-03,327.2,328.01,324.6,325.21,42037672
2020-02-04,324.67,325.4,319.67,320.62,152350896
2020-02-05,319.35,321.31,319.17,321.06,111400766
2020-02-06,321.31,325.16,312.89,320.2,57232870
2020-02-07,319.7,330.56,310.22,320.4,66177908
2020-02-10,320.91,325.47,314.45,319.54,73112815
2020-02-11,320.77,321.95,312.6,315.54,217791419
2020-02-12,315.83,325.01,311.24,320.67,174375311
2020-02-13,318.92,325.07,306.01,313.49,24410322
2020-02-14,313.13,319.38,308.55,313.66,89810078
2020-02-17,313.25,317.56,309.6,312.68,110368533
2020-02-18,315.19,316.37,313.29,315.24,43826840
2020-02-19,315.66,323.47,309.68,314.32,54349721
2020-02-20,312.69,321.23,306.12,313.77,81391344
2020-02-21,311.92,312.79,308.14,308.84,163430177
2020-02-24,309.32,312.45,303.46,305.09,88089755
2020-02-25,304.47,307.86,304.0,307.26,89235844
2020-02-26,305.6,308.99,302.5,306.65,99438330
2020-02-27,306.4,307.0,304.98,306.2,29773829
2020-02-28,307.88,310.17,307.51,309.66,86444632
2020-03-02,310.31,310.6,308.43,308.62,76812818
2020-03-03,309.22,311.77,307.29,309.61,103002461
2020-03-04,308.17,318.28,306.24,317.54,113175130
2020-03-05,319.31,320.74,311.48,313.94,176230633
2020-03-06,312.84,316.97,310.69,314.98,45805955
2020-03-09,315.25,321.42,311.35,318.18,157806585
2020-03-10,318.57,319.91,314.71,317.19,139704288
2020-03-11,317.81,319.27,314.66,315.61,113229718
2020-03-12,315.89,322.79,308.47,316.56,98871402
2020-03-13,318.0,330.69,307.59,319.77,94562657
2020-03-16,321.05,325.5,318.2,320.44,199425905
2020-03-17,321.82,323.82,315.12,318.01,137339015
2020-03-18,317.98,320.89,316.54,320.02,57564532
2020-03-19,321.29,327.19,315.01,318.66,83313270
2020-03-20,317.99,320.64,317.87,320.51,71514541
2020-03-23,320.59,322.79,313.84,319.71,99085220
2020-03-24,320.13,322.53,309.44,312.04,56962997
2020-03-25,311.27,312.28,310.41,311.43,74355582
2020-03-26,310.69,312.95,310.36,312.14,130624060
2020-03-27,312.2,315.81,305.8,312.19,66691637
2020-03-30,311.37,321.92,307.43,319.7,105698632
2020-03-31,318.73,319.34,316.79,317.64,97616415
2020-04-01,317.97,322.42,315.42,317.3,30244589
2020-04-02,317.07,322.3,314.7,317.22,30383688
2020-04-03,316.01,319.5,312.67,314.24,45879383
2020-04-06,314.54,320.22,302.61,315.74,52300966
2020-04-07,314.94,323.21,312.13,319.47,125764157
2020-04-08,320.61,322.92,319.61,321.02,62250347
2020-04-09,320.63,325.11,318.73,321.11,37428433
2020-04-10,320.08,324.36,312.87,318.94,50494086
2020-04-13,317.5,323.78,311.74,319.37,124154192
2020-04-14,319.49,320.37,316.61,317.24,92815802
2020-04-15,317.25,321.03,315.55,319.55,31228745
2020-04-16,319.45,321.72,317.27,319.17,31598488
2020-04-17,318.59,331.3,311.88,324.72,70075282
2020-04-20,326.24,329.26,323.78,326.09,96618899
2020-04-21,327.37,332.76,324.44,330.03,108177622
2020-04-22,328.64,338.62,322.41,331.49,39899429
2020-04-23,332.6,338.38,330.86,334.61,87104148
2020-04-24,333.99,343.57,330.93,341.65,100647911
2020-04-27,341.83,347.11,337.02,341.3,170169886
2020-04-28,341.32,346.77,339.79,344.86,53333882
2020-04-29,343.8,353.11,341.88,351.33,30807822
2020-04-30,350.38,353.51,344.56,348.41,152584381
2020-05-01,348.42,348.77,346.68,347.21,76359899
2020-05-04,346.06,351.24,344.51,349.44,79692086
2020-05-05,352.22,356.4,340.16,347.08,119991892
2020-05-06,347.86,348.88,344.24,344.82,47240965
2020-05-07,344.07,348.13,343.08,346.96,42317199
2020-05-08,347.5,350.67,342.96,347.06,57159763
2020-05-11,347.89,357.27,343.56,352.37,56397419
2020-05-12,352.43,356.34,351.25,355.08,92554158
2020-05-13,353.54,358.86,349.54,352.19,85213913
2020-05-14,352.29,356.01,344.3,348.88,82254259
2020-05-15,349.76,351.91,342.62,345.33,66295413
2020-05-18,345.89,349.82,341.84,348.02,76196565
2020-05-19,347.05,352.4,345.4,349.8,117073146
2020-05-20,349.21,364.17,341.79,350.78,50601816
2020-05-21,351.51,356.77,348.34,354.75,103451700
2020-05-22,353.13,365.01,350.5,358.83,141604793
2020-05-25,360.01,360.21,356.4,356.67,156592990
2020-05-26,356.32,357.43,355.29,356.06,89672263
2020-05-27,356.0,364.78,350.74,357.59,115525217
2020-05-28,355.98,364.46,350.69,359.44,27339324
2020-05-29,358.41,372.47,350.5,367.89,52088237
2020-06-01,366.42,371.82,361.13,366.65,121651892
2020-06-02,367.3,373.7,363.47,370.11,114529442
2020-06-03,370.03,374.18,366.6,370.64,118485441
2020-06-04,369.39,373.04,363.37,370.13,131665851
2020-06-05,369.04,378.09,367.51,374.88,138132993
2020-06-08,374.27,376.55,373.22,375.98,83833657
2020-06-09,374.8,380.04,374.14,379.4,63620887
2020-06-10,378.01,381.68,370.93,374.47,117546768
2020-06-11,372.81,373.08,369.43,369.87,105171877
2020-06-12,370.06,378.6,367.1,373.74,238164645
2020-06-15,374.5,381.24,367.74,378.82,50663128
2020-06-16,379.52,380.82,371.87,374.85,109966281
2020-06-17,373.68,376.46,367.18,369.01,109582785
2020-06-18,368.12,374.39,367.82,374.09,118295482
2020-06-19,375.03,375.47,373.98,374.37,58139337
2020-06-22,373.49,379.05,372.83,378.1,186832932
2020-06-23,380.43,381.68,378.82,380.77,134981627
2020-06-24,378.7,384.85,377.35,384.02,152072602
2020-06-25,386.18,386.89,378.58,379.49,185958460
2020-06-26,376.68,383.59,375.27,382.7,101820048
2020-06-29,385.76,385.99,383.61,383.88,60119248
2020-06-30,384.98,385.93,382.64,384.2,158745581
2020-07-01,382.35,389.69,380.42,385.97,118113463
2020-07-02,385.76,388.98,381.84,387.41,46326180
2020-07-03,387.75,388.05,386.71,386.98,93833568
2020-07-06,387.71,395.85,376.82,386.54,46850932
2020-07-07,386.92,390.51,383.44,386.43,171497050
2020-07-08,385.32,386.84,379.13,380.96,114794714
2020-07-09,379.67,385.33,378.94,383.66,94023827
2020-07-10,383.98,386.16,383.77,385.78,85115803
2020-07-13,384.95,391.24,380.76,388.5,47711471
2020-07-14,387.4,391.53,383.67,387.47,77050399
2020-07-15,386.42,394.1,384.54,393.2,48391550
2020-07-16,394.58,398.75,382.71,386.78,111274127
2020-07-17,386.8,392.68,383.63,388.01,89112114
2020-07-20,388.48,392.23,385.91,390.15,59938631
2020-07-21,391.25,396.93,389.49,393.37,51881801
2020-07-22,392.96,403.32,392.29,401.97,112440580
2020-07-23,400.29,404.26,398.5,402.14,53266628
2020-07-24,402.97,403.98,400.93,402.44,138346536
2020-07-27,401.62,409.7,395.1,403.91,53216459
2020-07-28,406.06,407.13,399.01,400.54,42489042
2020-07-29,400.97,401.31,398.53,398.92,97160720
2020-07-30,398.8,398.95,394.86,395.07,58794323
2020-07-31,397.6,399.03,390.48,391.49,116024452
2020-08-03,388.97,394.15,386.72,392.19,35918155
2020-08-04,392.32,395.78,389.68,393.24,49131866
2020-08-05,391.27,398.23,387.95,394.81,102425139
2020-08-06,395.34,402.69,382.01,387.6,129072226
2020-08-07,388.27,394.04,384.87,390.62,62988622
2020-08-10,390.67,395.22,381.86,385.33,41733667
2020-08-11,387.03,388.33,384.48,386.7,87227826
2020-08-12,389.3,393.63,386.42,390.63,69858463
2020-08-13,391.46,397.84,390.33,396.9,44022179
2020-08-14,396.62,396.72,391.68,391.92,72236389
2020-08-17,391.92,393.35,390.34,391.61,133636226
2020-08-18,393.64,399.67,387.52,393.04,39712215
2020-08-19,393.32,394.11,392.97,393.53,61670458
2020-08-20,395.45,396.5,393.33,394.36,83033622
2020-08-21,393.61,394.05,392.91,393.38,58102890
2020-08-24,390.66,395.52,387.52,391.76,81799626
2020-08-25,393.57,397.45,390.6,392.44,93589030
2020-08-26,394.06,396.85,382.11,387.4,137351435
2020-08-27,389.0,397.03,376.32,384.52,72968383
2020-08-28,384.01,385.92,383.89,385.72,51074933
2020-08-31,384.85,390.05,381.13,384.55,146759773
2020-09-01,383.33,387.72,375.17,380.5,92086950
2020-09-02,380.8,383.17,375.49,379.16,172479942
2020-09-03,378.72,381.57,375.0,377.06,53892197
2020-09-04,376.0,381.46,374.44,379.38,51975330
2020-09-07,379.12,379.51,376.24,377.15,77232744
2020-09-08,376.38,379.83,368.21,371.47,72856780
2020-09-09,370.15,375.58,369.28,374.53,98121612
2020-09-10,374.67,387.06,364.06,376.33,80180710
2020-09-11,375.91,380.05,372.1,377.63,82015076
2020-09-14,377.13,380.11,371.56,376.83,89047185
2020-09-15,377.21,381.5,376.57,380.94,155811030
2020-09-16,378.95,382.59,376.07,380.3,89343046
2020-09-17,377.9,385.49,369.08,379.52,205039381
2020-09-18,379.23,381.62,374.84,376.86,88678748
2020-09-21,377.45,384.13,373.83,382.35,62531583
2020-09-22,381.49,381.71,378.09,378.55,142037265
2020-09-23,379.19,395.74,369.57,384.85,82393936
2020-09-24,383.65,385.46,378.67,380.67,84229211
2020-09-25,378.85,384.98,374.87,380.94,56590994
2020-09-28,378.53,392.84,375.3,386.62,76528276
2020-09-29,386.7,390.33,386.61,390.25,35534449
2020-09-30,390.31,392.34,383.54,386.41,136687205
2020-10-01,385.21,398.88,376.7,389.77,103653606
2020-10-02,390.98,395.58,390.51,394.99,110975444
2020-10-05,395.04,400.45,386.77,389.05,157377256
2020-10-06,386.91,392.14,386.34,391.73,97157038
2020-10-07,394.07,394.44,389.1,389.52,65651666
2020-10-08,388.67,399.72,385.6,397.26,79507688
2020-10-09,399.09,404.34,388.69,395.33,244526857
2020-10-12,396.13,398.58,389.99,394.04,152406311
2020-10-13,392.19,397.53,391.7,396.9,47425718
2020-10-14,398.15,399.1,397.15,397.54,71174631
2020-10-15,396.12,401.72,393.43,396.19,46977002
2020-10-16,396.82,401.93,395.36,400.8,198525469
2020-10-19,399.66,402.44,397.82,399.0,52721687
2020-10-20,398.8,412.7,392.42,406.2,175830022
2020-10-21,407.43,414.8,400.12,409.41,90101190
2020-10-22,411.61,411.67,407.52,407.57,30813319
2020-10-23,407.42,408.47,397.58,398.08,101315085
2020-10-26,398.53,400.49,388.7,393.08,160057267
2020-10-27,393.82,398.38,388.83,390.94,126545592
2020-10-28,389.81,394.75,388.68,394.02,178586029
2020-10-29,395.16,396.79,390.98,392.6,85517982
2020-10-30,390.92,394.41,384.28,387.71,75405634
2020-11-02,387.49,388.26,383.63,384.87,51276098
2020-11-03,385.22,406.55,373.18,388.82,27036814
2020-11-04,388.86,392.33,379.34,382.28,202124327
2020-11-05,383.89,384.31,379.28,379.6,112451560
2020-11-06,379.74,396.64,376.01,389.74,186790990
2020-11-09,391.07,395.66,383.68,388.65,52864845
