Date,Open,High,Low,Close,Volume
2020-01-01,79.92,82.17,74.37,80.0,198697934
2020-01-02,78.84,86.8,78.24,84.83,670775009
2020-01-03,84.22,89.96,76.89,82.32,114613495
2020-01-06,81.97,86.95,80.16,84.46,203832454
2020-01-07,85.9,89.8,83.99,88.35,105222334
2020-01-08,89.54,89.83,88.19,88.74,58315874
2020-01-09,91.2,93.59,81.89,83.18,454632213
2020-01-10,83.18,86.91,81.97,85.1,134449273
2020-01-13,83.92,86.72,82.01,83.66,103572873
2020-01-14,83.85,88.59,81.96,87.62,193247297
2020-01-15,85.99,91.17,84.88,90.42,90356488
2020-01-16,90.09,98.85,80.4,84.13,306525142
2020-01-17,83.15,91.49,78.85,85.89,232289208
2020-01-20,84.81,85.55,84.61,85.31,139666950
2020-01-21,85.48,93.86,84.24,92.14,297843376
2020-01-22,92.91,95.05,90.72,91.79,44364948
2020-01-23,91.53,92.21,90.84,91.39,83969593
2020-01-24,89.36,90.3,85.73,86.46,103716398
2020-01-27,84.83,89.39,78.39,86.09,80290171
2020-01-28,86.15,93.43,81.07,86.94,88006500
2020-01-29,86.14,87.5,83.44,85.65,85071741
2020-01-30,86.39,88.72,83.97,87.37,97236072
2020-01-31,87.22,95.01,85.47,94.22,368383442
2020-02-03,94.66,95.63,90.92,92.74,88725323
2020-02-04,92.48,94.19,91.13,93.24,115860076
2020-02-05,95.58,98.2,89.54,93.57,106062107
2020-02-06,93.61,95.69,86.22,88.86,443455465
2020-02-07,90.35,91.3,88.22,88.66,159417897
2020-02-10,88.03,91.31,78.99,80.66,246982203
2020-02-11,80.65,87.97,78.21,83.74,163504355
2020-02-12,85.36,87.36,76.17,79.32,110059345
2020-02-13,78.69,82.98,75.23,77.57,308822258
2020-02-14,76.89,78.59,73.17,74.69,271494868
2020-02-17,74.23,79.11,73.31,78.51,149093515
2020-02-18,78.37,79.66,75.78,78.17,132296106
2020-02-19,79.77,80.8,78.4,79.03,94641165
2020-02-20,78.82,80.16,77.9,79.48,76158410
2020-02-21,78.09,84.6,76.53,83.97,119347562
2020-02-24,84.43,85.93,80.69,82.38,206760095
2020-02-25,81.58,83.95,80.22,83.11,156212867
2020-02-26,83.51,86.07,80.31,84.45,71717555
2020-02-27,84.48,85.72,78.2,79.62,529366841
2020-02-28,78.96,79.02,76.77,76.82,241870388
2020-03-02,75.56,78.45,71.84,74.27,94909071
